season,lambda,prior_strength,threshold,bets,wins,losses,win_pct,units,roi
2024,0.6,4,0.5238095238095238,202,99,103,0.4901,-13.0,-0.0644
2024,0.6,32,0.5238095238095238,186,91,95,0.4892,-12.27,-0.066
2024,0.6,4,0.5,217,106,111,0.4885,-14.64,-0.0674
2024,1.0,4,0.5238095238095238,170,83,87,0.4882,-11.55,-0.0679
2024,0.9,8,0.5238095238095238,166,81,85,0.488,-11.36,-0.0685
2024,0.6,32,0.5,210,102,108,0.4857,-15.27,-0.0727
2024,1.0,4,0.5,202,98,104,0.4851,-14.91,-0.0738
2024,0.6,8,0.5238095238095238,196,95,101,0.4847,-14.64,-0.0747
2024,0.8,4,0.5238095238095238,192,93,99,0.4844,-14.45,-0.0753
2024,0.6,16,0.5238095238095238,189,91,98,0.4815,-15.27,-0.0808
2024,0.95,8,0.5238095238095238,160,77,83,0.4813,-13.0,-0.0812
2024,0.8,8,0.5,212,102,110,0.4811,-17.27,-0.0815
2024,0.6,16,0.5,208,100,108,0.4808,-17.09,-0.0822
2024,0.6,8,0.5,213,102,111,0.4789,-18.27,-0.0858
2024,0.8,8,0.5238095238095238,184,88,96,0.4783,-16.0,-0.087
2024,0.95,4,0.5238095238095238,176,84,92,0.4773,-15.64,-0.0888
2024,1.0,8,0.5238095238095238,145,69,76,0.4759,-13.27,-0.0915
2024,0.95,4,0.5,206,98,108,0.4757,-18.91,-0.0918
2024,0.8,4,0.5,213,101,112,0.4742,-20.18,-0.0948
2024,0.9,8,0.5,209,99,110,0.4737,-20.0,-0.0957
2024,0.8,16,0.5,205,97,108,0.4732,-19.82,-0.0967
2024,0.9,4,0.5238095238095238,186,88,98,0.4731,-18.0,-0.0968
2024,1.0,32,0.5238095238095238,161,76,85,0.472,-15.91,-0.0988
2024,0.8,32,0.5,202,95,107,0.4703,-20.64,-0.1022
2024,1.0,8,0.5,190,89,101,0.4684,-20.09,-0.1057
2024,0.95,8,0.5,205,96,109,0.4683,-21.73,-0.106
2024,0.95,32,0.5238095238095238,156,73,83,0.4679,-16.64,-0.1066
2024,0.8,16,0.5238095238095238,178,83,95,0.4663,-19.55,-0.1098
2024,0.9,4,0.5,209,97,112,0.4641,-23.82,-0.114
2024,1.0,32,0.5,194,90,104,0.4639,-22.18,-0.1143
2024,1.0,16,0.5238095238095238,136,63,73,0.4632,-15.73,-0.1156
2024,0.9,16,0.5238095238095238,160,74,86,0.4625,-18.73,-0.117
2024,0.9,32,0.5,197,91,106,0.4619,-23.27,-0.1181
2024,0.95,16,0.5238095238095238,150,69,81,0.46,-18.27,-0.1218
2024,0.9,32,0.5238095238095238,157,72,85,0.4586,-19.55,-0.1245
2024,0.8,32,0.5238095238095238,168,77,91,0.4583,-21.0,-0.125
2024,0.95,32,0.5,192,88,104,0.4583,-24.0,-0.125
2024,0.9,16,0.5,192,88,104,0.4583,-24.0,-0.125
2024,0.95,16,0.5,194,88,106,0.4536,-26.0,-0.134
2024,1.0,16,0.5,181,81,100,0.4475,-26.36,-0.1457
