season,K,init_scale,h,threshold,bets,wins,losses,win_pct,units,roi
2024,0.05,0.0,0.0,0.5238095238095238,68,37,31,0.5441,2.64,0.0388
2024,0.1,0.25,0.0,0.5238095238095238,150,77,73,0.5133,-3.0,-0.02
2024,0.2,1.0,0.1,0.5,241,120,121,0.4979,-11.91,-0.0494
2024,0.1,0.0,0.0,0.5238095238095238,127,63,64,0.4961,-6.73,-0.053
2024,0.2,1.0,0.0,0.5238095238095238,190,94,96,0.4947,-10.55,-0.0555
2024,0.1,0.5,0.05,0.5,239,118,121,0.4937,-13.73,-0.0574
2024,0.2,1.0,0.05,0.5,231,114,117,0.4935,-13.36,-0.0579
2024,0.1,0.5,0.0,0.5,223,110,113,0.4933,-13.0,-0.0583
2024,0.2,0.5,0.0,0.5,223,110,113,0.4933,-13.0,-0.0583
2024,0.2,1.0,0.0,0.5,223,110,113,0.4933,-13.0,-0.0583
2024,0.2,1.0,0.1,0.5238095238095238,209,103,106,0.4928,-12.36,-0.0592
2024,0.1,0.25,0.1,0.5238095238095238,195,96,99,0.4923,-11.73,-0.0601
2024,0.05,0.0,0.1,0.5238095238095238,175,86,89,0.4914,-10.82,-0.0618
2024,0.4,1.0,0.05,0.5,232,114,118,0.4914,-14.36,-0.0619
2024,0.2,0.5,0.05,0.5,232,114,118,0.4914,-14.36,-0.0619
2024,0.05,0.0,0.05,0.5238095238095238,110,54,56,0.4909,-6.91,-0.0628
2024,0.4,1.0,0.1,0.5238095238095238,210,103,107,0.4905,-13.36,-0.0636
2024,0.2,0.5,0.1,0.5238095238095238,208,102,106,0.4904,-13.27,-0.0638
2024,0.2,1.0,0.05,0.5238095238095238,196,96,100,0.4898,-12.73,-0.0649
2024,0.1,0.25,0.0,0.5,223,109,114,0.4888,-14.91,-0.0669
2024,0.4,1.0,0.0,0.5,223,109,114,0.4888,-14.91,-0.0669
2024,0.1,0.5,0.0,0.5238095238095238,178,87,91,0.4888,-11.91,-0.0669
2024,0.2,0.5,0.05,0.5238095238095238,197,96,101,0.4873,-13.73,-0.0697
2024,0.2,0.25,0.0,0.5238095238095238,177,86,91,0.4859,-12.82,-0.0724
2024,0.1,0.5,0.1,0.5,247,120,127,0.4858,-17.91,-0.0725
2024,0.05,0.25,0.05,0.5,243,118,125,0.4856,-17.73,-0.073
2024,0.05,0.25,0.0,0.5238095238095238,138,67,71,0.4855,-10.09,-0.0731
