lambda,prior_strength,threshold,bets,wins,losses,units,win_pct,roi
1.0,32,0.5238095238095238,1060,520,540,-67.27,0.4906,-0.0635
0.95,32,0.5238095238095238,1045,507,538,-77.09,0.4852,-0.0738
0.6,32,0.5238095238095238,1288,624,664,-96.72,0.4845,-0.0751
0.9,32,0.5238095238095238,1064,510,554,-90.37,0.4793,-0.0849
1.0,16,0.5238095238095238,1015,484,531,-91.0,0.4768,-0.0897
0.6,8,0.5238095238095238,1350,643,707,-122.47,0.4763,-0.0907
0.6,16,0.5238095238095238,1305,620,685,-121.36,0.4751,-0.093
0.6,4,0.5238095238095238,1371,650,721,-130.09,0.4741,-0.0949
0.95,8,0.5238095238095238,1111,526,585,-106.82,0.4734,-0.0961
1.0,8,0.5238095238095238,1084,513,571,-104.63,0.4732,-0.0965
1.0,4,0.5238095238095238,1178,557,621,-114.65,0.4728,-0.0973
0.8,32,0.5238095238095238,1140,539,601,-110.99,0.4728,-0.0974
0.8,16,0.5238095238095238,1201,567,634,-118.53999999999999,0.4721,-0.0987
0.8,8,0.5238095238095238,1242,586,656,-123.27,0.4718,-0.0993
0.9,4,0.5238095238095238,1238,582,656,-126.92,0.4701,-0.1025
0.95,4,0.5238095238095238,1194,561,633,-123.0,0.4698,-0.103
0.95,16,0.5238095238095238,1075,505,570,-110.91,0.4698,-0.1032
0.8,4,0.5238095238095238,1277,599,678,-133.45,0.4691,-0.1045
0.9,8,0.5238095238095238,1147,537,610,-121.82,0.4682,-0.1062
0.9,16,0.5238095238095238,1110,519,591,-119.17999999999999,0.4676,-0.1074
