K,init_scale,h,threshold,bets,wins,losses,units,win_pct,roi
0.1,1.0,0.05,0.5238095238095238,1397,660,737,-137.0,0.4724,-0.0981
0.1,1.0,0.0,0.5238095238095238,1355,638,717,-137.0,0.4708,-0.1011
0.2,1.0,0.05,0.5238095238095238,1391,654,737,-142.46,0.4702,-0.1024
0.05,1.0,0.05,0.5238095238095238,1385,651,734,-142.18,0.47,-0.1027
0.05,1.0,0.0,0.5238095238095238,1337,628,709,-138.1,0.4697,-0.1033
0.1,0.25,0.0,0.5238095238095238,1007,473,534,-104.0,0.4697,-0.1033
0.05,0.5,0.05,0.5238095238095238,1287,603,684,-135.81,0.4685,-0.1055
0.2,1.0,0.0,0.5238095238095238,1337,625,712,-143.82,0.4675,-0.1076
0.05,0.25,0.0,0.5238095238095238,915,427,488,-99.81,0.4667,-0.1091
0.1,0.25,0.05,0.5238095238095238,1160,541,619,-127.18,0.4664,-0.1096
0.2,0.5,0.0,0.5238095238095238,1249,580,669,-141.73,0.4644,-0.1135
0.1,0.5,0.0,0.5238095238095238,1221,567,654,-138.54,0.4644,-0.1135
0.2,0.25,0.0,0.5238095238095238,1176,546,630,-133.65,0.4643,-0.1136
0.05,0.5,0.0,0.5238095238095238,1202,558,644,-136.73,0.4642,-0.1138
0.1,0.5,0.05,0.5238095238095238,1291,599,692,-147.45,0.464,-0.1142
0.2,0.25,0.05,0.5238095238095238,1278,593,685,-145.91,0.464,-0.1142
0.2,0.5,0.05,0.5238095238095238,1328,615,713,-153.91,0.4631,-0.1159
0.1,0.0,0.0,0.5238095238095238,829,382,447,-99.73,0.4608,-0.1203
0.2,0.0,0.0,0.5238095238095238,1061,488,573,-129.37,0.4599,-0.1219
0.05,0.25,0.05,0.5238095238095238,1083,497,586,-134.18,0.4589,-0.1239
0.2,0.0,0.05,0.5238095238095238,1133,519,614,-142.17000000000002,0.4581,-0.1255
0.1,0.0,0.05,0.5238095238095238,960,437,523,-125.72,0.4552,-0.131
0.05,0.0,0.05,0.5238095238095238,692,311,381,-98.27,0.4494,-0.142
0.05,0.0,0.0,0.5238095238095238,425,190,235,-62.28,0.4471,-0.1465
