n_est,max_d,lr,threshold,bets,wins,losses,units,win_pct,roi
200,5,0.03,0.5238,1194,620,574,-10.370000000000001,0.5193,-0.0087
200,3,0.03,0.5238,1097,567,530,-14.54,0.5169,-0.0133
200,3,0.08,0.5238,1303,673,630,-18.189999999999998,0.5165,-0.014
800,3,0.03,0.5238,1270,655,615,-19.54,0.5157,-0.0154
200,5,0.03,0.5,1457,751,706,-23.27,0.5154,-0.016
200,7,0.03,0.5,1498,772,726,-24.169999999999998,0.5154,-0.0161
400,5,0.03,0.5238,1293,663,630,-27.27,0.5128,-0.0211
200,7,0.03,0.5238,1302,667,635,-28.64,0.5123,-0.022
400,3,0.08,0.5238,1351,691,660,-31.82,0.5115,-0.0236
400,3,0.03,0.5,1448,740,708,-35.28,0.511,-0.0244
800,3,0.03,0.5,1490,761,729,-37.19,0.5107,-0.025
400,3,0.03,0.5238,1173,598,575,-31.37,0.5098,-0.0267
400,7,0.03,0.5238,1380,701,679,-41.74,0.508,-0.0302
200,3,0.03,0.5,1446,734,712,-44.730000000000004,0.5076,-0.0309
400,7,0.03,0.5,1535,779,756,-47.82,0.5075,-0.0312
200,3,0.08,0.5,1533,777,756,-49.63,0.5068,-0.0324
200,7,0.08,0.5238,1370,693,677,-46.98,0.5058,-0.0343
400,5,0.03,0.5,1479,747,732,-52.92,0.5051,-0.0358
800,7,0.03,0.5238,1419,716,703,-52.09,0.5046,-0.0367
800,7,0.03,0.5,1536,775,761,-56.449999999999996,0.5046,-0.0368
400,3,0.08,0.5,1522,767,755,-57.72,0.5039,-0.0379
800,5,0.03,0.5,1493,752,741,-57.36,0.5037,-0.0384
800,5,0.03,0.5238,1368,688,680,-54.55,0.5029,-0.0399
800,3,0.08,0.5238,1393,699,694,-58.56,0.5018,-0.042
200,7,0.08,0.5,1488,746,742,-63.82,0.5013,-0.0429
800,3,0.08,0.5,1491,747,744,-64.92,0.501,-0.0435
400,7,0.08,0.5,1507,752,755,-71.36,0.499,-0.0474
400,7,0.08,0.5238,1407,698,709,-74.46000000000001,0.4961,-0.0529
800,7,0.08,0.5238,1432,710,722,-76.55,0.4958,-0.0535
400,5,0.08,0.5,1509,748,761,-80.99000000000001,0.4957,-0.0537
200,5,0.08,0.5238,1353,668,685,-77.72999999999999,0.4937,-0.0575
400,5,0.08,0.5238,1375,678,697,-80.62,0.4931,-0.0586
800,7,0.08,0.5,1507,742,765,-90.44,0.4924,-0.06
800,5,0.08,0.5,1519,747,772,-92.9,0.4918,-0.0612
200,5,0.08,0.5,1513,744,769,-92.63,0.4917,-0.0612
800,5,0.08,0.5238,1435,701,734,-96.73,0.4885,-0.0674
