season,n_est,max_d,lr,threshold,bets,wins,losses,win_pct,units,roi
2019,200,3,0.03,0.5,234,123,111,0.5256,0.82,0.0035
2019,200,3,0.03,0.5238,205,109,96,0.5317,3.09,0.0151
2019,200,3,0.08,0.5,247,124,123,0.502,-10.27,-0.0416
2019,200,3,0.08,0.5238,217,110,107,0.5069,-7.0,-0.0323
2019,200,5,0.03,0.5,241,123,118,0.5104,-6.18,-0.0257
2019,200,5,0.03,0.5238,211,111,100,0.5261,0.91,0.0043
2019,200,5,0.08,0.5,262,126,136,0.4809,-21.45,-0.0819
2019,200,5,0.08,0.5238,244,118,126,0.4836,-18.73,-0.0768
2019,200,7,0.03,0.5,254,131,123,0.5157,-3.91,-0.0154
2019,200,7,0.03,0.5238,226,118,108,0.5221,-0.73,-0.0032
2019,200,7,0.08,0.5,248,122,126,0.4919,-15.09,-0.0609
2019,200,7,0.08,0.5238,235,115,120,0.4894,-15.45,-0.0658
2019,400,3,0.03,0.5,244,121,123,0.4959,-13.0,-0.0533
2019,400,3,0.03,0.5238,214,108,106,0.5047,-7.82,-0.0365
2019,400,3,0.08,0.5,242,117,125,0.4835,-18.64,-0.077
2019,400,3,0.08,0.5238,225,110,115,0.4889,-15.0,-0.0667
2019,400,5,0.03,0.5,239,118,121,0.4937,-13.73,-0.0574
2019,400,5,0.03,0.5238,225,114,111,0.5067,-7.36,-0.0327
2019,400,5,0.08,0.5,256,124,132,0.4844,-19.27,-0.0753
2019,400,5,0.08,0.5238,241,113,128,0.4689,-25.27,-0.1049
2019,400,7,0.03,0.5,253,124,129,0.4901,-16.27,-0.0643
2019,400,7,0.03,0.5238,235,116,119,0.4936,-13.55,-0.0576
2019,400,7,0.08,0.5,249,121,128,0.4859,-18.0,-0.0723
2019,400,7,0.08,0.5238,240,116,124,0.4833,-18.55,-0.0773
2019,800,3,0.03,0.5,245,125,120,0.5102,-6.36,-0.026
2019,800,3,0.03,0.5238,226,115,111,0.5088,-6.45,-0.0286
2019,800,3,0.08,0.5,244,118,126,0.4836,-18.73,-0.0768
2019,800,3,0.08,0.5238,235,113,122,0.4809,-19.27,-0.082
2019,800,5,0.03,0.5,247,121,126,0.4899,-16.0,-0.0648
2019,800,5,0.03,0.5238,235,118,117,0.5021,-9.73,-0.0414
2019,800,5,0.08,0.5,257,122,135,0.4747,-24.09,-0.0937
2019,800,5,0.08,0.5238,245,115,130,0.4694,-25.45,-0.1039
2019,800,7,0.03,0.5,254,124,130,0.4882,-17.27,-0.068
2019,800,7,0.03,0.5238,240,117,123,0.4875,-16.64,-0.0693
2019,800,7,0.08,0.5,254,123,131,0.4843,-19.18,-0.0755
2019,800,7,0.08,0.5238,241,118,123,0.4896,-15.73,-0.0653
2020,200,3,0.03,0.5,250,130,120,0.52,-1.82,-0.0073
2020,200,3,0.03,0.5238,195,101,94,0.5179,-2.18,-0.0112
2020,200,3,0.08,0.5,265,138,127,0.5208,-1.55,-0.0058
2020,200,3,0.08,0.5238,239,121,118,0.5063,-8.0,-0.0335
2020,200,5,0.03,0.5,262,136,126,0.5191,-2.36,-0.009
2020,200,5,0.03,0.5238,221,116,105,0.5249,0.45,0.0021
2020,200,5,0.08,0.5,261,136,125,0.5211,-1.36,-0.0052
2020,200,5,0.08,0.5238,242,127,115,0.5248,0.45,0.0019
2020,200,7,0.03,0.5,256,136,120,0.5312,3.64,0.0142
2020,200,7,0.03,0.5238,233,122,111,0.5236,-0.09,-0.0004
2020,200,7,0.08,0.5,257,134,123,0.5214,-1.18,-0.0046
2020,200,7,0.08,0.5238,240,125,115,0.5208,-1.36,-0.0057
2020,400,3,0.03,0.5,240,127,113,0.5292,2.45,0.0102
2020,400,3,0.03,0.5238,212,110,102,0.5189,-2.0,-0.0094
2020,400,3,0.08,0.5,271,136,135,0.5018,-11.36,-0.0419
2020,400,3,0.08,0.5238,253,128,125,0.5059,-8.64,-0.0341
2020,400,5,0.03,0.5,266,138,128,0.5188,-2.55,-0.0096
2020,400,5,0.03,0.5238,246,127,119,0.5163,-3.55,-0.0144
2020,400,5,0.08,0.5,275,147,128,0.5345,5.64,0.0205
2020,400,5,0.08,0.5238,253,133,120,0.5257,0.91,0.0036
2020,400,7,0.03,0.5,266,141,125,0.5301,3.18,0.012
2020,400,7,0.03,0.5238,239,123,116,0.5146,-4.18,-0.0175
2020,400,7,0.08,0.5,272,140,132,0.5147,-4.73,-0.0174
2020,400,7,0.08,0.5238,245,125,120,0.5102,-6.36,-0.026
2020,800,3,0.03,0.5,256,132,124,0.5156,-4.0,-0.0156
2020,800,3,0.03,0.5238,228,114,114,0.5,-10.36,-0.0455
