label,season,bets,wins,losses,win_pct,units,roi
A: XGB 51 (baseline),2019,211,111,100,0.5261,0.91,0.0043
A: XGB 51 (baseline),2020,221,116,105,0.5249,0.45,0.0021
A: XGB 51 (baseline),2021,215,106,109,0.493,-12.64,-0.0588
A: XGB 51 (baseline),2022,191,104,87,0.5445,7.55,0.0395
A: XGB 51 (baseline),2023,197,100,97,0.5076,-6.09,-0.0309
A: XGB 51 (baseline),2024,159,83,76,0.522,-0.55,-0.0034
B: XGB 54 (+ prior+blended),2019,217,112,105,0.5161,-3.18,-0.0147
B: XGB 54 (+ prior+blended),2020,212,107,105,0.5047,-7.73,-0.0364
B: XGB 54 (+ prior+blended),2021,213,113,100,0.5305,2.73,0.0128
B: XGB 54 (+ prior+blended),2022,186,96,90,0.5161,-2.73,-0.0147
B: XGB 54 (+ prior+blended),2023,201,98,103,0.4876,-13.91,-0.0692
B: XGB 54 (+ prior+blended),2024,173,85,88,0.4913,-10.73,-0.062
C: XGB 51 + isotonic,2019,17,8,9,0.4706,-1.73,-0.1016
C: XGB 51 + isotonic,2020,56,34,22,0.6071,8.91,0.1591
C: XGB 51 + isotonic,2021,59,34,25,0.5763,5.91,0.1002
C: XGB 51 + isotonic,2022,44,25,19,0.5682,3.73,0.0847
C: XGB 51 + isotonic,2023,198,103,95,0.5202,-1.36,-0.0069
C: XGB 51 + isotonic,2024,8,4,4,0.5,-0.36,-0.0455
D: XGB 54 + isotonic,2019,59,31,28,0.5254,0.18,0.0031
D: XGB 54 + isotonic,2020,110,63,47,0.5727,10.27,0.0934
D: XGB 54 + isotonic,2021,26,15,11,0.5769,2.64,0.1014
D: XGB 54 + isotonic,2022,47,24,23,0.5106,-1.18,-0.0251
D: XGB 54 + isotonic,2023,191,100,91,0.5236,-0.09,-0.0005
D: XGB 54 + isotonic,2024,61,33,28,0.541,2.0,0.0328
