season,week,team_a,team_b,spread_a,is_home_a,mu_a,mu_b,p_t_a,p_t_b,edge_a,pick,p_pick,covered,result,units
2024,1,ARI,BUF,6.5,0,-0.7964358,-0.057825256,0.6641282826744728,0.3132667296823108,5.70356422662735,ARI,0.6641282826744728,1.0,WIN,0.9090909090909091
2024,1,ATL,PIT,-4.0,1,0.12442993,-0.38636324,0.3864617442245926,0.6060794100831126,-3.875570073723793,PIT,0.6060794100831126,1.0,WIN,0.9090909090909091
2024,1,BAL,KC,3.0,0,-0.7964358,0.0032482252,0.5652398722394645,0.411656850354715,2.20356422662735,BAL,0.5652398722394645,0.0,LOSS,-1.0
2024,1,CAR,MIA,3.5,0,-0.7964358,0.0032482252,0.5798387095237979,0.3972634897645026,2.70356422662735,CAR,0.5798387095237979,,PUSH,0.0
2024,1,CHI,TEN,-4.0,1,0.0032482252,-0.7964358,0.3830267483335117,0.5943142782916593,-3.9967517748009413,TEN,0.5943142782916593,0.0,LOSS,-1.0
2024,1,CIN,NE,-8.0,1,0.06335649,-0.27689746,0.27842757521526973,0.7163184545550045,-7.9366435110569,NE,0.7163184545550045,1.0,WIN,0.9090909090909091
2024,1,CLE,DAL,-2.5,1,-0.031982858,-0.73536223,0.42515826730448564,0.5523399389330838,-2.531982857733965,DAL,0.5523399389330838,1.0,WIN,0.9090909090909091
2024,1,DEN,SEA,6.5,0,1.331314,0.089198805,0.7189876033014122,0.3171044909016202,7.831313967704773,DEN,0.7189876033014122,1.0,WIN,0.9090909090909091
2024,1,DET,LA,-5.0,1,0.12442993,-0.337971,0.3584434393122494,0.6356389029654181,-4.875570073723793,LA,0.6356389029654181,0.0,LOSS,-1.0
2024,1,GB,PHI,2.0,0,-0.73536223,-0.057825256,0.537569227771714,0.43903543475100326,1.2646377682685852,GB,0.537569227771714,0.0,LOSS,-1.0
2024,1,HOU,IND,-3.0,0,-0.337971,0.12442993,0.40181827137164144,0.5920323383350152,-3.3379710018634796,IND,0.5920323383350152,1.0,WIN,0.9090909090909091
2024,1,JAX,NO,3.5,0,0.87285024,-0.34395924,0.6275667560226665,0.38735945153828943,4.372850239276886,JAX,0.6275667560226665,1.0,WIN,0.9090909090909091
2024,1,LAC,LV,-3.0,1,0.0032482252,-0.84482807,0.411656850354715,0.5638211945889461,-2.9967517748009413,LV,0.5638211945889461,0.0,LOSS,-1.0
2024,1,MIN,NYG,-1.0,0,-0.27689746,0.06335649,0.4620678055110906,0.5316051779290654,-1.2768974602222443,NYG,0.5316051779290654,0.0,LOSS,-1.0
2024,1,NYJ,SF,3.5,0,-0.7964358,-0.057825256,0.5798387095237979,0.3955157091898534,2.70356422662735,NYJ,0.5798387095237979,0.0,LOSS,-1.0
2024,1,TB,WAS,-4.0,1,-0.10621749,-0.73536223,0.3799327656712511,0.5960729412456367,-4.106217488646507,WAS,0.5960729412456367,0.0,LOSS,-1.0
2024,2,ARI,LA,1.0,1,-2.6247716,-4.211312,0.4517846506208879,0.34921716849203505,-1.6247715950012207,ARI,0.4517846506208879,1.0,WIN,0.9090909090909091
2024,2,ATL,PHI,5.5,0,-1.059508,5.370292,0.6294607729887844,0.49614030629709394,4.440492033958435,ATL,0.6294607729887844,1.0,WIN,0.9090909090909091
2024,2,BAL,LV,-9.0,1,-2.9891772,-4.507501,0.1896594967084887,0.6309145927139803,-11.989177227020264,LV,0.6309145927139803,1.0,WIN,0.9090909090909091
2024,2,BUF,MIA,2.5,0,0.64753515,4.585251,0.5926989766653301,0.5617697381164208,3.1475351452827454,BUF,0.5926989766653301,1.0,WIN,0.9090909090909091
2024,2,CAR,LAC,5.0,1,-2.6918132,2.6527617,0.5683037327329065,0.43055382627042266,2.3081867694854736,CAR,0.5683037327329065,0.0,LOSS,-1.0
2024,2,CHI,HOU,6.0,0,2.6662946,3.3859036,0.739111858087074,0.4227651118832738,8.666294574737549,CHI,0.739111858087074,,PUSH,0.0
2024,2,CIN,DAL,6.5,0,-0.65161204,-0.73471653,0.6680114583688084,0.2958966375091224,5.848387956619263,CIN,0.6680114583688084,1.0,WIN,0.9090909090909091
2024,2,CLE,JAX,3.0,0,-2.042267,-4.092245,0.5284721950054084,0.299510973479893,0.9577329158782959,CLE,0.5284721950054084,1.0,WIN,0.9090909090909091
2024,2,DEN,IND,3.0,1,-3.3956165,-4.680937,0.488229430512219,0.28472531742550156,-0.3956165313720703,DEN,0.488229430512219,,PUSH,0.0
2024,2,DET,TB,-7.5,1,6.4358435,1.3924022,0.4683710995350875,0.7444142216100589,-1.0641565322875977,TB,0.7444142216100589,1.0,WIN,0.9090909090909091
2024,2,GB,PIT,3.0,1,-2.6162627,-2.3881466,0.511417244669763,0.3443974814318198,0.38373732566833496,GB,0.511417244669763,1.0,WIN,0.9090909090909091
2024,2,KC,NO,-6.5,1,6.0347347,0.58578146,0.4861580791260477,0.7003245152808728,-0.46526527404785156,NO,0.7003245152808728,1.0,WIN,0.9090909090909091
2024,2,MIN,SF,4.5,1,5.766689,0.6560941,0.7752371991996132,0.3873609662324333,10.266688823699951,MIN,0.7752371991996132,1.0,WIN,0.9090909090909091
2024,2,NE,NYJ,3.5,1,-1.8375785,-4.587731,0.5493262277415064,0.27474284851276065,1.662421464920044,NE,0.5493262277415064,1.0,WIN,0.9090909090909091
2024,2,NYG,WAS,1.5,0,-4.3288107,-2.6820903,0.41652284795854677,0.377793343297384,-2.828810691833496,NYG,0.41652284795854677,0.0,LOSS,-1.0
2024,2,SEA,TEN,-3.5,0,1.1927451,-2.085904,0.4317235364702255,0.5419916511564394,-2.307254910469055,TEN,0.5419916511564394,,PUSH,0.0
2024,3,ARI,DET,3.0,1,-1.6364613,1.3111664,0.5404963020912756,0.44989472939690933,1.3635387420654297,ARI,0.5404963020912756,0.0,LOSS,-1.0
2024,3,ATL,KC,3.0,1,1.65673,3.1127808,0.6354915844989351,0.5033560141363393,4.656730055809021,ATL,0.6354915844989351,0.0,LOSS,-1.0
2024,3,BAL,DAL,-1.5,0,-2.8431203,0.59772855,0.3732668110928553,0.5621359683205848,-4.343120336532593,DAL,0.5621359683205848,0.0,LOSS,-1.0
2024,3,BUF,JAX,-4.0,1,2.8039482,-2.1122372,0.46446200600424603,0.5559655630054612,-1.196051836013794,JAX,0.5559655630054612,0.0,LOSS,-1.0
2024,3,CAR,LV,5.5,0,-3.27873,-0.4423298,0.5657587041840797,0.329480506109173,2.2212700843811035,CAR,0.5657587041840797,1.0,WIN,0.9090909090909091
2024,3,CHI,IND,1.5,0,-0.8997604,-0.19387442,0.5178547931748092,0.4497460717403775,0.6002395749092102,CHI,0.5178547931748092,0.0,LOSS,-1.0
2024,3,CIN,WAS,-7.5,1,0.1524041,-0.14574039,0.29304918991397577,0.7071184557257104,-7.347595900297165,WAS,0.7071184557257104,1.0,WIN,0.9090909090909091
2024,3,CLE,NE,-6.5,1,1.7894804,-2.7705975,0.3630140433392268,0.6093816056610315,-4.710519552230835,NE,0.6093816056610315,,PUSH,0.0
