season,week,picked,opponent,p,covered
2019,1,ARI,DET,0.5161,1
2019,1,BAL,MIA,0.5161,1
2019,1,BUF,NYJ,0.5161,1
2019,1,CAR,LA,0.5161,0
2019,1,CIN,SEA,0.5161,1
2019,1,NYG,DAL,0.5161,0
2019,1,LV,DEN,0.5161,1
2019,1,GB,MIN,0.5161,1
2019,1,HOU,NO,0.55,1
2019,1,JAX,KC,0.5161,0
2019,1,NE,TEN,0.5161,1
2019,1,PHI,WAS,0.5161,0
2019,1,SF,TB,0.5161,1
2019,2,ARI,BAL,0.55,1
2019,2,ATL,BUF,0.5161,1
2019,2,CAR,TB,0.5161,0
2019,2,CHI,DEN,0.5161,0
2019,2,CIN,SF,0.5161,0
2019,2,NYJ,CLE,0.55,0
2019,2,WAS,DAL,0.55,0
2019,2,DET,LAC,0.5161,1
2019,2,IND,GB,0.5161,1
2019,2,JAX,HOU,0.55,1
2019,2,LV,KC,0.5161,0
2019,2,LA,NO,0.5161,1
2019,2,MIA,NE,0.55,0
2019,2,PIT,SEA,0.5161,0
2019,3,ARI,CAR,0.5161,0
2019,3,ATL,IND,0.5161,0
2019,3,BAL,KC,0.5161,0
2019,3,BUF,CIN,0.5161,0
2019,3,WAS,CHI,0.55,0
2019,3,CLE,LA,0.5161,0
2019,3,MIA,DAL,0.55,0
2019,3,DEN,GB,0.5161,0
2019,3,DET,PHI,0.5161,1
2019,3,HOU,LAC,0.5161,1
2019,3,JAX,TEN,0.5161,1
2019,3,LV,MIN,0.5161,0
2019,3,NYJ,NE,0.5161,1
2019,3,NO,SEA,0.5161,1
2019,3,NYG,TB,0.5161,1
2019,3,PIT,SF,0.55,1
2019,4,ARI,SEA,0.5161,0
2019,4,BAL,CLE,0.5161,0
2019,4,BUF,NE,0.5161,1
2019,4,CAR,HOU,0.5161,1
2019,4,CHI,MIN,0.5161,1
2019,4,NO,DAL,0.55,1
2019,4,DEN,JAX,0.5161,0
2019,4,DET,KC,0.5161,1
2019,4,PHI,GB,0.5161,1
2019,4,IND,LV,0.5161,0
2019,4,TB,LA,0.55,1
2019,4,MIA,LAC,0.55,0
2019,4,NYG,WAS,0.5161,1
2019,4,PIT,TEN,0.55,1
2019,5,ARI,CAR,0.5161,1
2019,5,ATL,HOU,0.5161,0
2019,5,BAL,PIT,0.55,0
2019,5,BUF,DAL,0.5161,1
2019,5,LV,CHI,0.55,1
2019,5,CLE,SF,0.55,0
2019,5,DEN,LAC,0.55,1
2019,5,GB,TEN,0.55,1
2019,5,IND,KC,0.5161,1
2019,5,LA,SEA,0.5161,1
2019,5,MIN,NYG,0.5161,1
2019,5,NE,WAS,0.5161,1
2019,5,NO,TB,0.55,1
2019,5,NYJ,PHI,0.55,0
2019,6,ATL,ARI,0.5161,0
2019,6,BAL,CIN,0.5161,0
2019,6,TB,CAR,0.5161,0
2019,6,CLE,SEA,0.5161,0
2019,6,NYJ,DAL,0.55,1
2019,6,DEN,TEN,0.5161,1
2019,6,GB,DET,0.55,0
2019,6,HOU,KC,0.5161,1
2019,6,NO,JAX,0.5161,1
2019,6,LA,SF,0.5161,0
2019,6,LAC,PIT,0.5161,0
2019,6,MIA,WAS,0.55,1
2019,6,PHI,MIN,0.55,0
2019,6,NE,NYG,0.5161,1
2019,7,ARI,NYG,0.5161,1
2019,7,ATL,KC,0.5161,0
2019,7,BAL,DAL,0.5161,1
2019,7,MIA,BUF,0.55,1
2019,7,NO,CHI,0.5161,1
2019,7,CIN,JAX,0.55,0
2019,7,LA,DEN,0.55,1
2019,7,DET,MIN,0.5161,0
2019,7,GB,LV,0.55,1
2019,7,HOU,IND,0.5161,0
2019,7,NYJ,NE,0.5161,0
2019,7,WAS,SF,0.55,1
2019,8,ARI,NO,0.5161,0
2019,8,SEA,ATL,0.55,0
2019,8,BUF,PHI,0.5161,0
2019,8,SF,CAR,0.5161,1
2019,8,LAC,CHI,0.5161,1
2019,8,CIN,LA,0.5161,0
2019,8,CLE,NE,0.5161,0
2019,8,IND,DEN,0.55,0
2019,8,DET,NYG,0.5161,0
2019,8,GB,KC,0.5161,1
2019,8,LV,HOU,0.55,1
2019,8,NYJ,JAX,0.5161,0
2019,8,MIA,PIT,0.55,1
2019,8,MIN,WAS,0.5161,0
2019,8,TB,TEN,0.5161,0
2019,9,ARI,SF,0.5161,1
2019,9,BAL,NE,0.55,1
2019,9,BUF,WAS,0.55,1
2019,9,CAR,TEN,0.5161,1
2019,9,PHI,CHI,0.5161,1
2019,9,DEN,CLE,0.5161,1
2019,9,DAL,NYG,0.5161,1
2019,9,LV,DET,0.5161,1
2019,9,LAC,GB,0.5161,1
2019,9,HOU,JAX,0.55,1
2019,9,IND,PIT,0.55,0
2019,9,KC,MIN,0.5161,1
2019,9,MIA,NYJ,0.5161,1
2019,9,SEA,TB,0.5161,1
2019,10,ARI,TB,0.55,1
2019,10,ATL,NO,0.5161,1
2019,10,CIN,BAL,0.55,0
2019,10,CAR,GB,0.5161,0
2019,10,CHI,DET,0.5161,1
2019,10,MIN,DAL,0.5161,1
2019,10,MIA,IND,0.5161,1
2019,10,KC,TEN,0.5161,0
2019,10,PIT,LA,0.55,1
2019,10,LV,LAC,0.55,1
2019,10,NYJ,NYG,0.55,1
2019,10,SEA,SF,0.55,1
2019,11,ATL,CAR,0.5161,1
2019,11,BAL,HOU,0.5161,1
2019,11,BUF,MIA,0.55,1
2019,11,CHI,LA,0.5161,0
2019,11,LV,CIN,0.55,0
2019,11,CLE,PIT,0.5161,1
2019,11,DAL,DET,0.5161,1
2019,11,DEN,SF,0.5161,1
2019,11,IND,JAX,0.5161,1
2019,11,KC,LAC,0.55,1
2019,11,NE,PHI,0.5161,1
2019,11,TB,NO,0.55,0
